Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1630,4,Estratovolcán,Historical,False,False,Furnas (Azores)
1669,3,Estratovolcán,Historical,False,True,Etna (Italy)
1670,2,Volcán en escudo,Historical,False,False,Aoba (Vanuatu-SW Pacific)
1690,3,Volcán complejo,Historical,False,False,Guntur (Java)
1766,3,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1780,3,Estratovolcán,Historical,False,False,Aoga-shima (Izu Is-Japan)
1784,4,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1890,2,Estratovolcán,Historical,False,False,Victory (New Guinea)
1913,1,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1926,3,Estratovolcán,Historical,False,False,Tokachi (Hokkaido-Japan)
1932,4,Estratovolcán,Historical,False,False,Fuego (Guatemala)
1964,2,Estratovolcán,Historical,False,False,Villarrica (Chile-C)
1967,3,Caldera,Historical,True,False,Deception Island (Antarctica)
1974,2,Estratovolcán,Historical,False,False,Merapi (Java)
1977,1,Estratovolcán,Historical,False,False,Nyiragongo (Africa-C)
1988,3,Estratovolcán,Historical,False,False,Lonquimay (Chile-C)
1991,1,Volcán complejo,Historical,False,False,Unzen (Kyushu-Japan)
1993,1,Estratovolcán,Historical,False,False,Guagua Pichincha (Ecuador)
2008,3,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
2011,3,Estratovolcán,Holocene,False,False,Nabro (Africa-NE)
2013,,Estratovolcán,Historical,False,False,Ubinas (Peru)
2014,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2015,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
416,,Caldera,Historical,True,False,Krakatau (Indonesia)
1311,3,Estratovolcán,Historical,False,False,Kelut (Java)
1410,3,Estratovolcán,Historical,False,False,Nasu (Honshu-Japan)
1672,2,Estratovolcán,Historical,False,False,Fayal (Azores)
1780,,Estratovolcán,Historical,True,False,Sakura-jima (Kyushu-Japan)
1800,2,Estratovolcán,Historical,False,False,Kieyo (Africa-E)
1803,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1894,3,Escudo piroclástico,Historical,False,False,Ambrym (Vanuatu-SW Pacific)
1910,2,Estratovolcán,Historical,False,False,Usu (Hokkaido-Japan)
1911,2,Volcán complejo,Historical,False,False,Asama (Honshu-Japan)
1917,3,Estratovolcán,Historical,False,True,San Salvador (El Salvador)
1923,,Estratovolcán,Historical,False,False,Tangkubanparahu (Java)
1923,2,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1929,4,Estratovolcán,Historical,False,False,Komaga-take (Hokkaido-Japan)
1929,3,Estratovolcán,Historical,False,False,Santa Maria (Guatemala)
1939,1,volcán submarino,Historical,True,False,Kick-'em-Jenny (W Indies)
1951,3,Estratovolcán,Historical,False,False,Kelut (Java)
1966,4,Estratovolcán,Historical,False,False,Awu (Sangihe Is-Indonesia)
1971,2,Estratovolcán,Historical,False,False,Villarrica (Chile-C)
1974,2,Domo de lava,Historical,False,False,Niigata-Yake-yama (Honshu-Japan)
1977,0,Volcán en escudo,Historical,False,False,Karthala (Indian O-W)
1978,2,Estratovolcán,Historical,False,False,Bulusan (Luzon-Philippines)
1982,5,Cono de toba,Historical,False,False,"Chichon, El (Mexico)"
1986,,Volcán complejo,Historical,False,False,Akita-Yake-yama (Honshu-Japan)
2001,2,Estratovolcán,Historical,False,False,Etna (Italy)
2018,1,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
-1645,6,Caldera,Historical,False,False,Aniakchak (Alaska Peninsula)
1636,3,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1669,3,Estratovolcán,Historical,False,False,Etna (Italy)
1698,3,Volcán complejo,Historical,True,False,Vesuvius (Italy)
1706,2,Estratovolcán,Historical,True,False,Tenerife (Canary Is)
